species,lat,lon,month,source
agaricus_augustus,37.870855,-122.265021,2,GBIF
agaricus_augustus,40.776106,-124.187727,3,GBIF
agaricus_augustus,39.431675,-123.814963,3,GBIF
agaricus_augustus,40.877513,-124.078859,4,GBIF
agaricus_augustus,36.609562,-121.923042,4,GBIF
agaricus_augustus,40.776314,-124.188195,4,GBIF
agaricus_augustus,-34.069156,23.023975,4,GBIF
agaricus_augustus,40.69971,-124.197259,4,GBIF
agaricus_augustus,37.051647,-122.091025,5,GBIF
agaricus_augustus,37.000508,-122.061978,5,GBIF
agaricus_augustus,37.051528,-122.085817,5,GBIF
agaricus_augustus,51.4,5.85,5,GBIF
agaricus_augustus,51.4,4.0,5,GBIF
agaricus_augustus,51.4,5.9,5,GBIF
agaricus_augustus,37.170322,-122.224819,5,GBIF
agaricus_augustus,47.552085,-122.248859,5,GBIF
agaricus_augustus,37.252655,-122.222099,5,GBIF
agaricus_augustus,40.858169,-124.089911,5,GBIF
agaricus_augustus,37.002517,-121.998567,5,GBIF
agaricus_augustus,36.252433,-121.783761,5,GBIF
agaricus_augustus,47.652773,-122.314515,5,GBIF
agaricus_augustus,48.437663,-123.395287,5,GBIF
agaricus_augustus,36.25228,-121.784112,5,GBIF
agaricus_augustus,48.437583,-123.395287,5,GBIF
agaricus_augustus,36.250431,-121.783697,5,GBIF
agaricus_augustus,47.580585,-122.235613,5,GBIF
agaricus_augustus,38.536362,-123.006364,5,GBIF
agaricus_augustus,38.537619,-123.004195,5,GBIF
agaricus_augustus,36.158691,-121.526766,5,GBIF
agaricus_augustus,45.43768,-122.730858,5,GBIF
agaricus_augustus,48.758205,-122.454627,5,GBIF
agaricus_augustus,40.776223,-124.188626,5,GBIF
agaricus_augustus,38.413063,-122.956313,6,GBIF
agaricus_augustus,37.203859,-122.089648,6,GBIF
agaricus_augustus,37.056871,-122.0937,6,GBIF
agaricus_augustus,52.1,6.35,6,GBIF
agaricus_augustus,51.75,5.85,6,GBIF
agaricus_augustus,51.35,6.15,6,GBIF
agaricus_augustus,53.19187,9.14851,6,GBIF
agaricus_augustus,52.15,5.2,6,GBIF
agaricus_augustus,51.6,6.1,6,GBIF
agaricus_augustus,46.834962,12.821483,6,GBIF
agaricus_augustus,38.319222,-123.038344,6,GBIF
agaricus_augustus,37.870479,-122.262131,6,GBIF
agaricus_augustus,38.550756,-123.293858,6,GBIF
agaricus_augustus,47.698614,-122.211098,6,GBIF
agaricus_augustus,40.353624,-124.009414,6,GBIF
agaricus_augustus,40.86142,-124.055978,6,GBIF
agaricus_augustus,37.005319,-122.044106,6,GBIF
agaricus_augustus,47.605122,-122.53247,6,GBIF
agaricus_augustus,37.037385,-122.15748,6,GBIF
agaricus_augustus,40.348667,-123.988092,6,GBIF
agaricus_augustus,53.490006,9.815808,6,GBIF
agaricus_augustus,52.086164,5.230555,6,GBIF
agaricus_augustus,37.3131,-122.198669,6,GBIF
agaricus_augustus,55.59578,12.96179,6,GBIF
agaricus_augustus,53.2,6.35,6,GBIF
agaricus_augustus,52.65,4.65,6,GBIF
agaricus_augustus,47.522542,-122.35775,6,GBIF
agaricus_augustus,40.87168,-124.070328,6,GBIF
agaricus_augustus,47.599395,-122.572517,6,GBIF
agaricus_augustus,37.816208,-122.178246,6,GBIF
agaricus_augustus,51.483172,-0.291297,6,GBIF
agaricus_augustus,49.226439,-123.115014,6,GBIF
